invoiceAmount,invoiceDiscountAmount,invoiceProfit
20,0,3.2
120,0,16.2
1700,0,165
931.2,28.8,96.6
300.2,15.8,28.25
176.14,0,43.02
3197.83,168.31,280.153
437.95,23.05,38.65
110.8,0,14.4
396.96,20.89,37.9875
97.66,5.14,13.4
408.595,21.505,41.105
41.1,0,5.98
50,0,7
596.48,24.85,57.8268
218.5,11.5,18.5
350.63,11.97,37.0342
950.4,39.6,140.8
625.39,32.92,49.985
766.11,23.69,76.306
309.6,12.9,30.1
158.46,8.34,13.46
25,0,3.26
604.27,12.33,93.968
219.38,2.22,26.984
138.82,9.65,10.36945
601.4,18.6,88.1
1419.97,70.03,124.32
479.52,19.98,45.22
402.43,16.77,46.582
185.64,9.77,15.7195
600.57,22.43,58.572
50,0,9.6
1019.05,52.51,92.25356
712.69,37.51,59.69
40.5,0,6.09
399.95,21.05,40.25
40,0,8.8
359.1,18.9,33.18
168.95,3.45,15.752
40.3,0,6.52
208.05,10.95,17.6
20.18,1.06,1.098
598.5,31.5,55.3
1881.8,58.2,128
30,0,3.9
501.84,26.41,37.6375
259.31,5.29,29.508
80,0,16.28
170.28,1.72,22.28
390.05,14.15,42.153
139.97,4.33,14.471
225.34,11.86,16.54
1658.7,51.3,72.3
125.69,6.62,8.385
95,5,8.2
180,0,45
1623.55,85.45,141.85
68.7,0,9.1
104.5,5.5,8
798.7,16.3,67.9
99.36,4.14,9.36
470,0,42.73
271.6,8.4,271.6
70,0,10.2
600,0,58.23
210,0,82.5
84.2,2.6,7.896
298.02,15.69,26.115
20,0,2.8
10,0,1.3
499.2,20.8,131.2
180,0,26.2
427.5,22.5,36
110.18,5.8,9.441
814.8,25.2,49.8
60,0,8.5
1244.85,45.15,76.42
29.2,0,3.8
30.55,0,2.95
153.1,0,15.9
139.26,2.84,14.158
200.9,4.1,21.9
98.88,0,12.9
160,0,21.6
196.04,0,24.76
2422.5,127.5,190.5
1183.04,62.27,102.975
651.38,23.63,38.375
291,9,36
14.07,0.44,2.515
79.3,3.3,7.796
200,0,26.1
139.59,1.41,12.59
1849.67,45.48,247.7464
149.49,1.51,14.94
538.56,28.35,44.695
190.02,3.88,19.222
1286.15,26.25,81.752
979.545,51.555,84.245
169.75,5.25,24.95
265.21,18.74,21.0093
1785,0,232.2
795.4,24.6,96.9
271.6,8.4,38.8
23.11,0,3.09
50,0,11
120,0,17
313.5,16.5,25.5
120.66,1.22,13.4212
1324.9,0,173.28
269.5,5.5,19.5
79,0,15.1
29.9,0,8.9
1618.59,36.41,116.94
395.2,20.8,33.2
189.77,3.87,24.4172
49.4,0,8.32
699.37,27.63,72.974
40,0,4.83
118,0,15.4
2207.52,116.19,248.565
287.85,15.15,26.15
263.99,13.89,22.546
329.8,10.2,32.8
189.15,5.85,21.15
119.49,1.21,18.093
34.8,0,4.6
201.66,6.24,23.113
2747.4,102.6,160.4
70.56,1.44,8.78
489.85,15.15,49.1
280,0,70
120.27,6.33,10.23
79.81,1.63,5.8712
65,0,15
146.63,0,20.37
80,0,16.28
88.6,0,12.38
42,0,9
358.9,11.1,37.2
40,0,5.9
129.6,5.4,13.6
1146.72,60.35,97.7165
104.5,5.5,10.5
140,0,19
525.26,27.65,38.355
750.5,39.5,63
9.72,0,1.26
79.54,2.46,8.34
100,0,20
69.58,1.42,9.58
238.53,4.87,27.032
100.32,5.28,8.64
60,0,5.6
238.8,0,31.15
117.72,0,25.58
80,0,13.25
2091.1,110.06,176.782
140.65,4.35,17.45
399.91,12.37,41.7416
261.35,13.76,20.435
557.65,29.35,49.15
572.85,30.15,47.45
120,0,18
508.99,26.79,45.591
25,0,4.52
70,0,8.75
59.38,3.13,18.125
48.4,0,6.3
2652.27,199.633,172.767
120.4,0,15.4
598.75,6.05,314.972
180.5,9.5,20
51.3,2.7,4.5
167.5,0,23.9
249.9,5.1,43.9
169.82,7.08,14.934
19.8,0,3.96
225.34,11.86,16.54
729.75,20.25,47.93
169.34,7.06,16.144
359.1,18.9,33.18
678.205,35.695,67.385
50,0,8
99.96,0,13.26
373.63,7.63,44.225
220,0,45
987.335,51.965,166.955
615.23,6.21,158.9056
99.03,4.13,11.2936
420.48,17.52,42.67
608,32,47.1
263.45,0,35.42
197.11,8.21,18.1272
139.5,0,17.64
18,0,2.36
200,0,23.4
697.87,36.73,61.92
630.5,19.5,26
75.84,0,9.76
290.7,15.3,21.72
269.56,8.34,49.963
193.8,10.2,16.8
1510.5,79.5,127.8
269.5,5.5,26.7
100,0,13
996.36,41.51,81.4552
1901.05,68.95,106.1
20,0,4.4
1005.62,52.93,88.6925
563.38,29.65,47.6185
497.61,15.39,51.61
31.5,0,4.11
34.64,0,4.89
110,0,9.5
39.38,0,6.12
42.75,2.25,3.69
10,0,1.48
115.75,1.17,14.0908
427.5,22.5,36.5
208.43,10.97,18.13
120,0,15.54
589.44,24.56,61.94
61.75,3.25,3.25
98,0,10.9
139.65,2.85,22.8
238.59,2.41,28.99
349.58,5.32,249.6765
549.81,28.94,45.0325
199.5,10.5,17
195,0,28
59.9,2.5,5.504
566.46,20.55,74.155
910.12,42.89,85.03455
387.6,20.4,34.52
379.2,15.8,36
596.55,18.45,30.75
3404.7525,179.1975,275.4825
209,11,16.04
972.47,51.18,92.5275
115.14,3.56,11.039
42.75,2.25,2.25
101.08,5.32,8.53
100,0,13
150.92,3.08,18.52
599.87,9.14,93.565
50,0,7.16
25,0,2.5
1009.4,20.6,82.4
80.51,2.49,8.01
199.5,10.5,20.05
705.85,37.15,79.25
444.79,23.41,34.79
1199.41,24.48,108.6722
79.9995,4.2105,7.2495
999.3354,20.3946,117.0654
15,0,1.5
627.15,50.85,38.15
100,0,10
159.41,8.39,12.41
322.05,16.95,37.05
229.43,12.08,17.655
745.58,15.22,84.184
201.59,10.61,17.09
466.94,32.46,34.039
749.33,23.18,77.795
75,0,13
461,0,51.59
1826.745,66.255,113.865
778.525,40.975,65.625
100,0,13
249.48,2.52,32.2
99.75,5.25,15.75
275.5,14.5,23.5
170,0,18.2
320.62,4.88,40.0075
503.5,26.5,42.5
149.35,3.05,14.852
100,0,23
30,0,3
470.4,9.6,53.5
514.87,24.83,50.0738
1466.8,53.2,133.3
61,0,7.97
159.87,5.29,15.79488
30.78,1.62,2.58
819.54,38.62,75.9328
1200,50,125
59.85,3.15,5.53
1501.5,38.5,105.5
229.44,9.56,20.44
149.15,7.85,14.15
508.73,26.78,44.525
2819.79,90.21,175.79
318.5,6.5,35.9
29.95,1.25,4.212
501.6,26.4,39.12
320.1,9.9,29.3
39.87,1.23,4.747
250,0,26.79
250.18,10.42,28.076
2007.66,105.67,181.1335
106.49,3.29,37.1066
1504.8,79.2,122.4
560.5,29.5,46.5
180,0,45
690.52,21.36,76.6636
50,0,5.36
60.39,0,8.34
1925.27,101.33,180.57
50.77,2.67,3.458
4420,0,655.5
499.8,10.2,55.8
25.97,0.53,2.97
140,0,18
30,0,14.4
159.96,0,21.72
68.71,3.62,5.8135
32.78,1.73,2.775
230.28,12.12,19.38
480,20,130
140.49,7.39,10.246
29.7,0,3.66
54.63,2.88,9.225
120.18,6.33,10.175
391.12,20.59,33.065
297.45,15.66,28.545
169.44,3.46,21.042
179.26,5.54,17.156
19,0,2.47
477.51,14.77,49.4316
20,0,2
538.11,16.64,50.5075
426.02,13.18,48.024
471.87,9.63,53.16
877.12,46.16,99.406
148.99,6.21,18.992
57.9,0,8.25
266.3325,14.0175,22.7325
149.58,0,19.28
289.1,5.9,43.1
360,15,33.9
100,0,25
99.75,5.25,8.75
327.32,6.68,38.16
650.7,20.12,66.6154
56,0,5.12
252.63,13.3,21.4935
39.8,0,7.22
99.2,1,23.918
29.93,1.58,2.625
7.5,0,1.95
280.33,8.67,37.83
1919.23,96.77,113.462
90,0,8.74
113,0,15
189.15,5.85,18.7
1111.7,34.38,100.0176
349.25,14.55,32.898
279.3,5.7,31.34
824.6,43.4,71.6
50.88,2.12,5.88
475.48,25.03,43.575
1301.09,54.21,59.348
1464.48,77.08,124.882
120.53,1.22,16.8825
466.58,9.52,60.108
73.2,0,10.08
799.5,20.5,49.5
60.48,2.52,53.64
100.98,1.02,16.08
749.13,9.87,96.333
1474.4,45.6,92.6
593.75,31.25,50.55
80.75,4.25,5.75
1113.4,58.6,134.8
50,0,6.51
45,0,4.5
100,0,13
15.62,0.82,0.498
4,0,0.88
18.5,0,5.5
40,0,3.6
160,0,22
20.79,0.21,3.99
367.65,19.35,38.7
434.06,22.85,38.6745
31,0,10.4
21,0,4.2
125.13,3.87,15.48
27.24,1.43,2.4165
2597.37,80.33,176.079
10,0,3.2
190.77,1.93,19.173
101.08,5.32,9.77
198.85,6.15,35.48
55.94,0,7.28
1425.95,75.05,132.55
40,0,10
399.65,15.36,44.945
70,0,15
1436.97,75.63,120.57
330,0,42.9
30,0,4.25
229.44,9.56,20.44
298.34,3.01,35.8365
2550.655,134.245,225.955
929.15,22.85,64.552
120,0,20
219,0,27.68
1537.1,80.9,111.7
1558.2,31.8,389.7
210.71,11.09,16.71
248.92,5.08,28.26
360.75,9.25,44.55
289.5,10.5,26.5
597.8,12.2,36.6
258.97,13.63,23.97
159.6,8.4,13.52
544.64,28.67,47.995
199.5,10.5,17
200.9,4.1,21.9
447.93,23.58,40.425
297.8,20.7,24.5175
1505.75,79.25,125.75
159.18,4.92,23.797
356.25,18.75,41.25
41.6,0,6.14
1016.5,0,130.2
750.78,23.22,85.78
699.27,15.73,99.27
30,0,5
100,0,9.2
342.63,0,38.63
20.8,0,3.64
230.86,7.14,23.94
374.78,19.73,31.775
170,0,25.99
40,0,5.2
139.68,4.32,14.49
999.84,33.05,98.22752
50,0,5
399.96,4.04,50.01
150,0,19.6
199.24,6.16,20.618
339.69,8.71,40.09
100,0,14
179.88,1.82,22.433
93.1,4.9,9.1
52.82,2.78,4.82
599.46,14.74,65.3792
399,21,33.7
210,0,30.54
479.76,14.84,46.612
195,0,27
90.82,4.78,7.02
846.36,44.55,71.555
29.55,1.23,2.6688
1346.18,48.83,90.675
190,0,21.64
441,9,67
116,0,15.12
520.65,10.63,58.6544
100,0,30.55
1734.04,91.27,146.985
326.23,17.17,27.73
200.9,4.1,37.53
225,0,28.5
104.5,5.5,10.44
40,0,5.9
78,0,8.36
192.88,0,26.64
199.38,2.01,25.1661
2219.37,107.01,205.91652
120.96,5.04,12.36
330,0,48
654.75,20.25,40.95
450,0,76
298.86,6.1,40.3808
379.64,13.36,38.638
299.46,10.54,31.99
399,21,36.54
29.25,0,3.81
784.7154,16.0146,155.3654
179.45,5.55,20.45
30,0,3.9
279.81,3.69,33.3345
352.56,14.69,32.81
418.49,12.94,43.3271
815,0,84.2
50,0,5.83
139.5,0,18.5
1250,0,100
859.5,40.5,77.7
244.78,12.88,22.197
1330.32,49.68,69.82
493.145,25.955,42.785
80.59,0.81,9.586
79.55,4.19,5.433
180.5,9.5,18.5
516.8,27.2,43
1248.39,38.61,109.07
140.29,2.86,15.827
33.25,1.75,3.7
1052.6,55.4,95.68
431.06,22.69,60.0625
328.8,17.31,27.995
79.2,0,13
106.66,0,12.45
59.52,2.48,5.52
180.5,9.5,15.1
379.37,10.93,40.6716
198.89,2.01,27.891
2653.75,96.25,153.75
552.28,29.07,46.3925
180,0,26.22
368.6,19.4,30.2
453.53,23.87,40.03
240,10,22.5
579.83,19.17,67.3
140.65,4.35,17.45
178.36,3.64,20.02
45,0,4.5
120,0,17.5
430.32,9.68,13.22
156.75,8.25,12.75
161.5,8.5,14.8
71.82,3.78,6.3
240.09,3.41,30.691
379.87,15.83,35.492
726.75,38.25,116.75
20.7,0,2.78
200,0,26.12
1089.31,33.69,115.11
10.96,0,0.88
139.08,5.8,31.5448
341.29,17.96,31.8675
832.428,43.812,71.008
58.8,0,11.58
270,0,60
108,0,13
160.05,4.95,12.73
142.5,7.5,12.5
879.06,17.94,121.7
205.2,10.8,17.28
899.25,18.35,102.158
20,0,2.62
75.88,0,9.88
2954.025,155.475,246.225
210.41,4.29,24.406
277.21,14.59,45.71
624.06,32.85,52.775
300.5,0,40.58
240.33,8.72,23.33325
99.47,2.03,13.23
405.18,21.33,34.375
239.12,4.88,29.47
198.94,0,26.46
1330,70,112
472.16,9.64,53.964
257.33,5.25,29.5284
100,0,20
50,0,6.53
139.81,2.85,14.7868
130.95,4.05,14.95
179.05,3.65,20.196
79.8,4.2,7.44
315.95,6.45,37.752
19,0,2.42
300,0,45
399,21,33.75
320.1,9.9,45.1
20,0,6.11
391.05,3.95,98.05
808.83,42.57,62.53
149.93,1.51,18.4056
99.55,4.15,9.452
1098.98,57.84,93.079
299.25,15.75,28.85
56,0,8.3
448.11,9.15,50.5548
239,0,26.57
115,0,11.3
943.39,49.65,81.298
486.78,25.62,41.28
824.5,25.5,50
360.75,9.25,44.55
125,0,37.5
246.72,12.99,22.765
200,0,27.2
110.4,0,14.4
170.05,8.95,18.15
245.53,12.92,19.5675
40.74,1.26,14.49
50,0,9
130,0,17.93
263.34,13.86,20.19
311.03,16.37,31.03
211.375,11.125,16.425
596.55,18.45,30.75
50,0,6.53
166.25,8.75,12.25
42.75,2.25,3.75
69.3,0,9
45.54,0.46,5.54
915.42,48.18,81.32
19,0,2.7
50,0,6.53
488.88,15.12,56.88
480.68,12.33,58.025
3683.53,193.87,322.81
80,0,10.8
260.13,6.67,28.13
219.83,5.18,28.575
170.52,3.48,19.2
39.9,2.1,6.9
94.6,0,12.6
20.9,1.1,1.6
24,0,2.96
50,0,5.36
104.03,5.48,10.165
298.19,15.69,29.246
158.9,1.61,20.535
1155.0085,41.8915,117.0085
50,0,6.53
1011.55,53.24,86.5605
50,0,8
1080.8,39.2,62.65
100.2,0,24.92
179.55,9.45,16.59
190,0,20.6
405.232,21.328,31.372
520.89,20.01,48.0267
86.64,4.56,8.04
448.5,23.61,42.195
100,0,13
743,0,66.15
497.67,15.39,51.5682
83.6,4.4,7.08
180,0,15.6
60,0,7.2
31.2,0,4
149.35,3.05,15.552
740.05,38.95,63.85
100,0,12.1
1509.28,79.44,132.664
70.96,2.96,6.1232
20,0,2.6
891.8,18.2,58.05
70,0,10
330.77,10.23,36.77
190.08,7.92,16.48
579.43,14.25,63.33168
143.57,2.93,36.17
698.98,21.62,72.182
40,0,5.4
390,0,70.2
139.97,4.33,14.471
71.36,3.76,6.084
100,0,18.01
129.2,6.8,10.96
212.2,0,27.8
359.25,15.75,33.15
44.29,0,5.77
170,0,18
170.24,8.96,14.39
597.34,31.44,52.391
114.68,0,13.37
1033.07,54.37,85.798
749.21,20.79,79.21
288.75,5.89,29.6272
129,0,16
1256.64,38.87,91.535
2080.01,109.47,177.316
155.4,8.18,14.491
1187.5,62.5,109.5
107.64,5.67,9.03
57.4,0,14.2
295.5,0,44.53
150,0,18
349.2,10.8,41.7
1339.03,48.57,98.634
96.8,0,12.6
180,0,26.2
178.67,5.53,18.474
499.95,15.46,51.9877
20.1,0,2.7
620.54,32.66,53.94
386.12,7.88,41.54
612.75,32.25,53.75
1008.8,31.2,73
24,0,2.96
38.66,0,5.08
1665.02,28.58,176.89
180.6,0,24.57
300,0,40.4
60.8,3.2,4.92
170.05,8.95,15.45
180.75,9.51,14.787
1700,0,165
60,0,7.5
250.58,17.42,17.81
171.86,9.05,19.895
80.28,4.23,7.475
46.7,0,6.06
397.44,16.56,37.44
89.66,3.74,8.364
160.08,8.43,17.275
235.88,0,30.38
820.8,34.2,75.8
501.125,26.375,48.645
100,0,13
844.36,44.44,73.06
1936.94,101.94,163.276
558.32,17.27,64.6123
480.2,9.8,83.75
41.6,0,6.14
42,0,5.58
280,0,39.2
866.4,45.6,72.4
60,0,8.75
240.616,12.664,21.976
100,0,10.71
199.72,6.18,24.123
139.68,4.32,14.49
180.48,7.52,21.98
110.4,4.6,6.7
260,0,36
240.1,4.9,26.99
30.56,0.95,3.165
160.55,8.45,15.55
229.19,2.32,27.795
979.7,30.3,70.7
229.9,12.1,19.46
1234.05,64.95,101.8
209.52,6.48,29.72
42.75,2.25,3.6
198.12,10.43,16.9225
100.94,2.06,9.31
980.4,51.6,82.95
547.77,28.83,48.97
297.64,15.67,25.915
1995,105,125
125.03,3.87,20.033
150,0,22.5
30.78,1.62,2.58
340.47,10.53,43.99
460.75,24.25,41.25
220.82,2.23,28.4495
1013.65,31.35,170.4
200,0,35
610.7,9.3,42.25
119.79,1.21,16.09
460.6,9.4,52.6
110.98,4.03,11.975
2132.65,77.35,141.85
120,5,120
179.45,5.55,18.45
50.64,2.67,4.585
344.79,10.66,44.8865
2922.2,153.8,255.1
724.06,50.34,50.464
795.4,24.6,45.4
350.17,10.83,36.22
83.032,2.568,11.632
80.64,0,10.48
540,0,80.4
933.19,49.12,161.385
433.77,15.73,45.2675
792.87,41.73,65.27
140,0,18.2
159.6,8.4,14.72
351.03,18.48,32.025
238.92,2.41,29.5067
303.61,9.39,30.65
101.37,5.34,8.615
377.05,19.84,33.2455
308.46,9.54,19.68
100,0,13.06
927.61,28.69,118.711
599.63,15.38,33.825
1239.66,38.34,52.76
220.46,6.82,21.6216
230.88,0,33.47
270,30,50
454.1,23.9,35.1
30.78,1.62,2.58
150,0,21.25
229.6,7.1,23.799
246.19,7.61,25.746
20.31,0,2.64
50.35,2.65,4.35
90.5,0,12.8
182.3,0,31.64
460.56,24.24,38.76
974.6,0,196.3
392.25,8.01,45.395
767.79,40.41,63.49
319.15,5.85,36.54
1278.06,67.27,120.1235
99.33,3.07,10.228
121.6,6.4,8.38
100,0,13
247.84,7.67,29.155
99.75,5.25,8.75
5.1,0,0.7
81.9,0,12.5
180,0,26.2
178.13,9.38,15.125
410,0,51.92
1360.65,49.35,77.65
1206.25,43.75,56.25
63.84,3.36,6.04
1360.65,49.35,77.65
854.03,30.98,56.725
151.91,8,12.795
571.2,23.8,53.6
120,0,18
299.68,6.74,26.61876
100,0,20
129,0,19.35
320,0,68.88
210,0,23.7
129.87,5.13,12.57
46.44,0,6.03
300,0,35.33
259.7,5.3,27.1
280.27,14.13,28.6688
60,0,5.6
375,0,51.8
1187.69,62.51,132.39
575.89,30.31,52.69
248.6,0,33.2
29,0,9.9
950.6,19.4,77.6
54,0,13
391.88,12.12,40.88
380,0,50
220,0,27.5
1100.1,39.9,73.05
104.5,5.5,9.76
538.11,16.64,55.1875
19,0,2.42
289.3,0,43.3
526.68,27.72,40.38
38.04,0,4.62
200.92,4.1,21.5396
299.1,6.1,33.736
882.15,18,103.847
147.54,0,19.1
649.51,20.09,74.912
180.25,0,35.7
1018.5,31.5,74.5
40,0,5.59
50,0,11.25
109.63,5.77,10.03
382.96,0,39.28
527.16,27.75,42.655
230.4,9.6,25.4
240.09,8.71,23.892
499.79,11.77,54.95412
928.56,43.75,83.99605
200,0,48.2
140,0,18
106,0,16
686.47,36.13,60.37
470.45,14.55,50.95
2148.71,113.09,195.9
100,0,14.75
454.85,18.95,42.848
20,0,12.5
60,0,6
774.2,15.8,180.81
338.1,6.9,47.27
430.42,8.78,50.616
158.25,0,20.67
150.35,4.65,10.85
51.35,0,7.4
200.1,8.34,23.5824
12.96,0,1.68
705.85,37.15,59.25
1358.12,71.48,124.12
77.32,0,10.16
40,0,10
119.4,0,17.31
150,4.64,15.6808
31.8,0,4.2
45,0,6.75
1477.25,77.75,125.25
180,0,26.2
100.88,3.12,19.28
695.59,36.61,61.44
80.51,2.49,7.91
25.65,1.35,5.15
96,0,12.48
1418.35,74.65,119.7
158.05,3.23,17.8144
266.4,0,35
50,0,6.53
595.27,31.33,49.47
97.5,0,12.5
1146.08,60.32,97.38
597.7,12.2,274.102
99.96,2.04,11.46
100,0,15
1134.16,59.69,96.0775
397.7,12.3,45.1
458.22,24.12,38.823
169.88,1.72,19.284
656.6,13.4,21.5
356.25,18.75,30.15
498.75,26.25,42.21
499.94,15.46,52.018
99.75,5.25,9.95
220,0,50
198.05,2,24.0895
83.1,0,11.55
400.8,16.7,34.63
150.54,4.66,14.544
456.58,24.03,38.7595
65,0,10
239.98,7.42,23.308
95,0,10.5
419.43,22.08,46.185
720,30,81
60,0,7.4
49.4,2.6,5.08
296.78,15.62,27.94
30,0,3
204.25,10.75,18.25
259.7,5.3,25.57
185.25,9.75,15.75
75.8,0,9.8
999.89,20.41,115.464
496.18,20.67,47.266
374.78,19.73,32.005
454.1,23.9,36.1
150.78,4.66,10.9568
999.52,22.48,118.516
195,0,78
200,0,32.5
200,0,32.5
170.3,0,26.1
121.65,0,14.85
140,0,16.8
119.81,3.07,15.608
820.04,43.16,73.84
49.75,0.5,6.9875
51.14,2.69,4.3185
47.85,0,6.6
499.42,17.58,49.852
2645.864,139.256,188.724
120,0,120
1755.6,92.4,1755.6
1360.65,49.35,77.65
480.1205,25.2695,41.4005
1880,0,210
299.23,12.47,28.182
2066.16,74.94,121.9215
100,0,30
45,0,7.62
2598.25,136.75,121
1353.15,41.85,77.3
189,0,28.75
1447.5,52.5,128.24
563.35,29.65,44.89
180,0,23.5
540.65,9.35,58.19
209,0,27.66
1205.4,24.6,63.11
45,0,5.85
570,0,49.17
60.14,1.86,6.14
219.96,16.84,14.16
100,1.1,12.9
430,4,49.004
99,0,10.82
240,12,9.86
1700,0,165
130,5,12.86
70,0,13
800,15.7,86.0817
80,0,8
200,12.1,16.3
46.94,0,6.11
150,4.5,15.9
350,10.99,29.2803
20,1,3.2
1013.65,53.35,86.15
110,5,10
80,0,10
40,0,3.6
300,10,60
150,3.4,20
3439.8,70.2,221.85
40,0,12.8
914.52,28.28,94.386
1150,53.8,105.0028
20,0,5.8
150,2.42,17.48
460,20,46.46
30,1.68,3.88
10,2.51,-0.875
1331.43,70.08,105.925
200,0,27.4
180,0,45
120,5,37.5
1046.24,55.07,92.235
401.44,14.56,44.045
117.99,6.21,9.99
513.1,27.01,43.315
923.02,48.58,90.58
745.75,39.25,62.61
333.17,17.54,35.765
320,10,47.27
318.27,3.21,41.2852
680,15.01,46.995
79.5,0,10.4
767.05,40.37,65.369
80,2.6,8.5
180,3.13,23.13
500,0.04,61.25
46,0,5.98
48.3,0,6.3
30,1.5,2.61
89.68,0,12.68
200,0,27.6
171.7,9.04,14.073
30,0,5
524.59,27.61,40.19
118.55,0,14.85
898.38,47.28,75.857
436.53,22.98,40.275
500,11,54.7
150,5.85,14.48
755.96,39.79,65.4825
84.88,0,11.55
226.86,11.94,19.21
906.3,47.7,76.5
49.8,0,6.48
150,5.8,15.6
275.5,14.5,23.3
154.4,5.6,13.72
150,4.5,15.6975
176,0,26
220,5,22.53
180,0,45
45,0,6.09
411.45,21.66,34.845
127.28,0,15.04
72.2,3.8,6.12
469.68,24.72,39.78
120,4.4,13.1
111.63,5.88,14.125
95.4,0,15.54
100,0,13
857.89,31.12,84.885
210,0,30.55
59.1,0,8.31
545.03,13.98,53.535
912.57,48.03,70.16
154.38,8.13,13.125
380,20,32
256.5,13.5,26.5
172,0,22
94.5,0,12.33
598.62,24.94,75.5976
498.75,26.25,46.95
35,0,7
1773.46,93.34,150.15
630,51,48
245.1,12.9,20.1
529.15,27.85,45.15
169.48,8.92,15.38
180,0,26.2
800,42.11,51.185
547.09,28.79,40.716
96.8,0,12.6
860,30,86.8
608.64,25.36,69.88
530.07,10.82,63.2722
800,20,50
680.447,35.813,57.627
18.4,0,2.4
1200,70,74
957.08,50.37,75.1775
336.49,17.71,28.49
1552.59,81.72,124.195
400,10,41.22
1480.4,69,137.8
48.66,0,5.94
495,0,68.45
200,0,25
50,5.51,10.995
760,37.5,69.5
67,0,11.8
798.18,8.06,96.6576
167.68,8.83,14.175
250,0,34.38
180,0,45
260.64,13.72,22.122
60,0,11.4
230,0,43.28
160.73,4.97,18.329
230,0,27.36
179.45,5.55,17.13
100,0,28
1236.9,65.1,104.78
68,0,9
676.2,13.8,23.4
160,0,20
2360,130,119
2844.82,103.18,173.12
125,0,37.5
80.55,0,8.85
903.8775,47.5725,76.4775
859.7,45.25,69.9525
14.5,0,2.95
297.2,0,49.72
999.78,39.49,128.55774
370,0,86.67
100,6.5,7.4
230,0,30
268.4,2.71,33.5989
40,5,1.2
392.84,20.68,35.784
37.5,0,4.89
150.2,4.65,16.1045
46.94,0,6.11
1416.87,74.57,122.448
370,6,43.14
85,0,12.2
159.6,8.4,12.23
200,19.4,7.37
1047.57,55.14,89.065
50,0,8
380,0,47.8
50,2.33,4.82
100,2,11.5
100,4,18.4
199.98,10.53,15.175
180,5.7,18.6
130,1,15
505.4,26.6,42.4
189.76,1.92,23.2032
44,0,8
10.4,0,1.82
140,2,18.82
330,4.57,39.07
30.88,1.63,3.505
17.1,0,2.4
100,0,17.5
339.5,10.5,35
84.2,0,11.66
12.5,0,1.63
1346.18,48.83,90.67
55,0,11
380,9,41.57
78,0,10
13.6,0,2.28
226.1,0,31.18
180,6.1,15.26
49.44,0,5.94
2267.75,82.25,131.42
570,30,48
1074.62,0,137.74
305.33,16.07,28.93
100,10.4,4
180,5.74,17.68
434.43,22.86,36.3855
152,8,22
1464.37,77.07,154.998
149.38,4.62,15.38
513,27,43
219.37,6.78,23.1655
247,13,20.9
300,24.4,17.9
581.4,30.6,48.42
47.5,0,6.5
18.3,0,2.3
520,35.24,34.478
737.2,22.8,30.4
209.72,4.28,61.67
1360,64.65,118.714
135.24,2.76,14.44
170,0,18.2
560,26,70.7
227.95,7.05,21.77
230,8.8,22.7
150,9.91,10.885
1361.92,71.68,135.92
48,0,11.3
140,0,12.73
597.55,31.45,49.55
572.356,30.124,48.476
125.02,0,15.54
200,0,25
1568.82,68.78,145.2208
400,12.37,44.6689
220,3.32,25.94
50.27,2.65,4.314
20,0,3.5
50,0.6,10.64
150,6.5,13.9
100,0,13
107.3,0,13.6
498.73,26.25,49.631
250,13.45,21.9675
47.6,0,6.7
45,0,5.9
70,2.15,7.25
353.4,18.6,35.4
100,8,6.9
199.92,4.08,23.46
247.76,13.04,31.76
722.65,22.35,74.99
140,3.44,14.88
347.99,10.76,38.9375
1200,50,50
120.612,6.348,9.652
2453.23,129.12,213.2725
904.9225,47.6275,77.2325
395.53,16.48,37.3496
2365.5,124.5,124.5
280.25,14.75,22.75
1896.9,99.84,160.293
70.2,0,9.8
81,0,10.6
1949.7,60.3,44.4
2807,0,356.55
452.505,13.995,44.405
463.51,24.4,37.905
30,2.74,2.483
170,10,35
941.84,49.57,88.0295
80,0,10.8
1433.25,36.75,78.75
87.78,4.62,7.38
419.77,12.98,43.4675
879.94,46.31,76.4875
945.75,29.25,65.55
1280,60,125.34
200,4.8,21.8
150,9.91,10.885
100,9.2,5.29
30,0,5
399.75,10.25,55.75
525.8,0,72.8
79.67,1.63,8.874
30,2.1,2.2
705.85,37.15,59.25
750,20,44.9
1896.2,99.8,160.2
258.98,2.62,33.254
279.3,14.7,23.7
1502.22,79.06,168.526
70.5,0,9.47
42.4,0,6
85.55,2.65,8.154
49,0,7.14
2750,140,156.884
1780,45,117
1146.11,47.75,175.6856
542.64,28.56,62.34
40,0,8.8
580,22,145.096
859.39,35.81,138.492
579.88,30.52,46.48
20,0,3.5
1799.35,55.65,176.24
40,0,12.22
50,0,16
1630,53.65,178.01685
217.17,11.43,20.77
1035,55.11,87.045
1554.43,48.08,102.785
179.34,3.66,20.34
20,0,6.11
624,16,53.44
210.68,6.52,21.284
723.63,26.25,125.8742
199.77,0,66.63
1021.2,53.75,85.2525
50,0,5.2
1224.08,64.43,94.875
200,0,56
30,0,3
796.8,33.2,80.8
929.1,48.9,79.1
62.13,0,8.57
140,0,18
749.55,39.45,80.31
207.74,8.66,21.444
50,0,16
120,0,24
40,0,4.83
149.63,7.88,15.555
185.13,1.87,22.13
340,5,13.6
15,0,1.5
30.89,0.63,3.4896
149.16,3.04,16.386
40,0,12.22
50.79,0.51,6.687
20,0,3.2
400,35,22
140,0,18
200,10,25
100.99,5.32,8.885
770,0.9,104.8
