invoiceAmount,invoiceDiscountAmount,invoiceProfit,invoiceDate
270,10,30.7,2/9/2019 6:04
518.47,27.29,43.812,2/9/2019 6:06
130,0,17.93,2/9/2019 6:08
430,10,12.9,2/9/2019 6:10
275,0,27.5,2/9/2019 6:10
679.36,24.64,66.46,2/9/2019 6:15
250,0,38.56,2/9/2019 6:16
230,10,25,2/9/2019 6:20
150,6.4,14.5,2/9/2019 6:24
410.57,14.89,42.7889,2/9/2019 6:25
60,0,13.86,2/9/2019 6:35
30,0,9.6,2/9/2019 6:36
75,2.7,7,2/9/2019 6:39
-60,60,-60,2/9/2019 7:05
630,19.85,62.4045,2/9/2019 6:50
70,0.5,29.11,2/9/2019 6:51
60,0,13.86,2/9/2019 6:52
329.32,10.19,36.225,2/9/2019 6:55
328.32,17.28,79.02,2/9/2019 6:56
100,5.75,8,2/9/2019 7:10
550,22,50.6,2/9/2019 7:42
365.47,19.24,32.365,2/9/2019 7:02
440,20,105,2/9/2019 7:04
35,2.8,2.15,2/9/2019 7:07
49.02,0,6.5,2/9/2019 7:12
20,0,4.4,2/9/2019 7:12
20,0,3.2,2/9/2019 7:13
640,35,56.1,2/9/2019 7:18
680,25.28,88.52,2/9/2019 7:23
360,20.28,29.646,2/9/2019 7:25
802.18,42.22,67.98,2/9/2019 7:27
160,3.2,18.16,2/9/2019 7:29
749.55,39.45,65.55,2/9/2019 7:39
796.96,41.95,67.43,2/9/2019 7:40
567.15,29.85,52.15,2/9/2019 7:45
1627.14,50.32,122.8262,2/9/2019 7:49
50,0,4.5,2/9/2019 7:49
240,10,19.74,2/9/2019 7:52
470,25.72,37.024,2/9/2019 8:01
400,24.2,31.6,2/9/2019 8:02
500,0,36.42,2/9/2019 8:07
2855.84,150.31,241.2725,2/9/2019 8:10
910,48.51,64.525,2/9/2019 8:15
77.368,4.072,7.248,2/9/2019 8:15
322.53,16.98,28.875,2/9/2019 8:18
180,0,45,2/9/2019 8:18
787.8,41.46,65.197,2/9/2019 8:20
668.14,35.17,58.355,2/9/2019 8:21
106.88,5.63,9.075,2/9/2019 8:22
114.8,0,15.15,2/9/2019 8:24
64.41,3.39,5.51,2/9/2019 8:25
595.65,31.35,53.35,2/9/2019 8:25
90,0,13.5,2/9/2019 8:26
460,94.8,-22.5,2/9/2019 8:30
669.73,51.78,44.725,2/9/2019 8:31
198.474,10.446,16.374,2/9/2019 8:33
38.5,5,38.5,2/9/2019 8:46
165.53,0,17.22,2/9/2019 8:35
100,0,14,2/9/2019 8:36
50,5,14,2/9/2019 8:39
272.75,14.36,22.245,2/9/2019 8:39
580.93,30.58,49.425,2/9/2019 8:41
139.65,7.35,13.27,2/9/2019 8:43
129.04,0,17.5,2/9/2019 8:49
250,14,23,2/9/2019 8:52
150.1,7.9,12.7,2/9/2019 8:55
350,10,36.8,2/9/2019 9:05
140,0,20,2/9/2019 9:05
350,4.08,44.1,2/9/2019 9:10
644.58,33.93,58.705,2/9/2019 9:11
80,0,11.6,2/9/2019 9:11
226.1,11.9,19.04,2/9/2019 9:13
481.75,25.36,42.285,2/9/2019 9:20
150,100,-67.5,2/9/2019 9:26
160,9.9,12,2/9/2019 9:27
600.87,18.58,63.5665,2/9/2019 9:29
99.75,5.25,10.05,2/9/2019 9:30
1930,103.42,165.919,2/9/2019 9:36
700,13,85.9,2/9/2019 9:39
350,11.1,34.36,2/9/2019 9:39
75,2.3,7.9,2/9/2019 9:40
180,0,45,2/9/2019 9:47
149.63,7.88,13.825,2/9/2019 9:49
36,0,4.8,2/9/2019 9:50
100,0,13.5,2/9/2019 9:51
140,6.64,12.48,2/9/2019 9:53
10,2,-0.4,2/9/2019 9:53
200,0,20.22,2/9/2019 9:55
280,30,50,2/9/2019 9:58
1160,35,94.07,2/9/2019 10:00
426.55,22.45,36.55,2/9/2019 10:00
510.3,26.86,45.542,2/9/2019 10:03
4724.73,248.67,420.03,2/9/2019 10:06
300,10,30.4,2/9/2019 10:08
919.6,48.4,82.28,2/9/2019 10:09
130,4,14,2/9/2019 10:15
130,2,13,2/9/2019 10:20
180,0,45,2/9/2019 10:23
190,5,73,2/9/2019 10:30
239.78,12.62,20.38,2/9/2019 10:30
772.74,23.9,159.66854,2/9/2019 10:39
364.14,19.17,31.935,2/9/2019 10:48
160,5,16.56,2/9/2019 10:52
780,25,53.6,2/9/2019 10:54
355.47,18.71,30.411,2/10/2019 9:08
130,8,10,2/10/2019 9:11
33.3,0,4.96,2/10/2019 9:27
30,2,2.02,2/10/2019 9:29
400,14,46,2/10/2019 9:30
20,0,11.7,2/10/2019 9:43
120,0,25.35,2/10/2019 9:56
30,1.5,2.85,2/10/2019 9:56
789.74,41.57,68.235,2/10/2019 10:00
80,5,6.7,2/10/2019 10:12
178.31,9.38,15.2155,2/10/2019 10:23
100,0,10.71,2/10/2019 10:24
5,1.48,-0.64,2/10/2019 10:26
260,5,40,2/10/2019 10:30
190,4.5,19.4,2/10/2019 10:35
580,20,49.8,2/10/2019 10:37
20,0,4,2/10/2019 10:38
20,0.49,2,2/10/2019 10:42
41,0,5.6,2/10/2019 10:42
99.18,5.22,9.48,2/10/2019 10:48
420,0,84,2/10/2019 10:53
1047.93,55.15,81.466,2/10/2019 11:04
1783.32,64.68,193.32,2/10/2019 11:10
48.67,2.56,6.0085,2/10/2019 11:15
60,5,5,2/10/2019 11:15
160,5,19,2/10/2019 11:18
1050,30,68.2,2/10/2019 11:20
160,1.6,19.4,2/10/2019 11:21
526.3,27.7,49.8,2/10/2019 11:50
811.02,42.69,69.715,2/10/2019 12:12
932.9,49.1,79,2/10/2019 12:14
1489.45,129.52,77.8824,2/10/2019 12:14
1019.33,53.65,88.741,2/10/2019 12:26
703.81,37.04,61.1075,2/10/2019 12:27
250,15,20,2/10/2019 12:27
470,20,57.02,2/10/2019 12:28
60,4.2,4.4,2/10/2019 12:39
370,0,86.67,2/10/2019 1:03
55.74,0,7.74,2/10/2019 1:18
475.38,25.02,43.38,2/10/2019 1:22
369.33,25.68,29.675,2/10/2019 1:25
115,0,14,2/10/2019 1:25
150,5,12.34,2/10/2019 1:29
128.4,0,17,2/10/2019 1:34
900,20,100,2/10/2019 1:35
67.5,0,7.52,2/10/2019 4:27
506.35,26.65,47.15,2/10/2019 4:42
430.68,13.32,44.88,2/10/2019 5:59
228,12,22,2/10/2019 6:03
200,0,45,2/10/2019 6:03
317.09,16.69,27.151,2/10/2019 6:16
1180,40,71.85,2/10/2019 6:17
20,0.55,1.1,2/10/2019 6:17
541.5,28.5,49.5,2/10/2019 6:17
19.44,0,2.52,2/10/2019 6:18
100,3,10.42,2/10/2019 6:18
600.1,31.58,55.166,2/10/2019 6:28
290,4.5,30.4,2/10/2019 6:30
99.23,2.03,12.015,2/10/2019 6:30
200,13.4,14.5,2/10/2019 6:41
70,0,9,2/10/2019 6:42
180,1,24.6,2/10/2019 6:54
20,0,8.4,2/10/2019 6:57
436.35,22.966,38.724,2/10/2019 6:57
277.73,14.62,22.2925,2/10/2019 7:01
622.74,19.26,50.2,2/10/2019 7:03
18,0,2.34,2/10/2019 7:04
60,3,5.22,2/10/2019 7:05
740,20,33.2,2/10/2019 7:16
1368,72,115.8,2/10/2019 7:19
264.71,13.93,23.468,2/10/2019 7:20
180,0,34,2/10/2019 7:21
270,0,34,2/10/2019 7:23
229.19,12.06,19.8375,2/10/2019 7:28
11000,750,1175,2/10/2019 7:34
2825.2675,148.7025,237.1675,2/10/2019 8:16
153.22,8.06,12.976,2/10/2019 7:36
313.98,16.53,29.175,2/10/2019 7:42
230.86,7.14,23.96,2/10/2019 7:43
346.75,18.25,29.25,2/10/2019 7:43
498.88,26.26,42.483,2/10/2019 7:51
390.45,0,48.27,2/10/2019 7:52
250,0,60,2/10/2019 7:53
650,25,37,2/10/2019 7:54
270,4.72,33.78,2/10/2019 7:56
700,0,95.25,2/10/2019 7:58
60,3,5.2,2/10/2019 7:59
1080,55,61.25,2/10/2019 7:59
46.58,0,6.3,2/10/2019 8:02
552.9,17.1,56.9,2/10/2019 8:03
1080,56.75,96.84,2/10/2019 8:04
220,10,20,2/10/2019 8:07
170,11.5,12.61,2/10/2019 8:07
500,30.2,43.05,2/10/2019 8:09
60,0,9.53,2/10/2019 8:11
468.29,24.65,41.993,2/10/2019 8:16
5,0,0.7,2/10/2019 8:19
364.23,19.17,33.55,2/10/2019 8:19
150,9,11.4,2/10/2019 8:20
287.85,15.15,25.93,2/10/2019 8:23
200,3.28,21.69,2/10/2019 8:24
5,0,1.3,2/10/2019 8:24
519.4,10.6,58.53,2/10/2019 8:26
130,1.3,15.9,2/10/2019 8:26
1020,65.6,156.97,2/10/2019 8:31
219.34,11.54,17.496,2/10/2019 8:35
140,4.3,13.46,2/10/2019 8:36
50,2.1,6.6,2/10/2019 8:36
168,0,20.63,2/10/2019 8:37
100.2,0,13.05,2/10/2019 8:37
80,5.1,6,2/10/2019 8:38
172.05,9.06,13.145,2/10/2019 8:39
40.09,0,7.62,2/10/2019 8:43
55,0,15,2/10/2019 8:45
280,10.19,27.08,2/10/2019 8:45
140,2.5,17.8,2/10/2019 8:46
699.68,36.83,63.475,2/10/2019 8:50
29.18,0,2.84,2/10/2019 8:51
320,4.17,44.62,2/10/2019 8:54
594.23,31.28,67.055,2/10/2019 8:54
270,4.5,31.2,2/10/2019 8:55
50,3.1,6.7,2/10/2019 8:57
26.19,0,3.45,2/10/2019 9:04
938.6,49.4,79.56,2/10/2019 9:06
170.96,0,24.5,2/10/2019 9:07
437.57,23.03,36.97,2/10/2019 9:09
320,4.5,42.78,2/10/2019 9:09
472.63,24.88,40.075,2/10/2019 9:15
250.4,0,32.5,2/10/2019 9:17
890,20,38.9,2/10/2019 9:19
287.03,15.11,24.273,2/10/2019 9:19
1340,45.08,137.1576,2/10/2019 9:25
260.49,13.71,21.77,2/10/2019 9:27
1317.361,63.019,114.841,2/10/2019 9:28
20,0.55,1.1,2/10/2019 9:28
2185,115,202,2/10/2019 9:29
60,3,5.22,2/10/2019 9:30
58,0,9.38,2/10/2019 9:34
736.73,38.78,62.475,2/10/2019 9:35
187.9,0,31.76,2/10/2019 9:36
280,5,29.92,2/10/2019 9:36
491.04,25.84,41.536,2/10/2019 9:39
199,0,66.5,2/10/2019 9:41
229.52,12.08,22.12,2/10/2019 9:43
300,18,26.3,2/10/2019 9:50
674.03,35.48,56.685,2/10/2019 9:50
110,5,6.3,2/10/2019 9:51
640,0,40.3,2/10/2019 9:54
115,0,10.85,2/10/2019 9:59
110,3.2,11.5,2/10/2019 10:02
20,0,2.6,2/10/2019 10:03
227.5,11.97,18.6165,2/10/2019 10:04
90,0,9.9,2/10/2019 10:08
551.38,29.02,52.18,2/10/2019 10:16
70,0,10.2,2/10/2019 10:23
1125,125,49,2/10/2019 10:33
1287.82,67.78,121.62,2/11/2019 9:54
174.8,9.2,24.8,2/10/2019 10:42
608.44,32.02,59.117,2/10/2019 10:43
135.09,7.11,17.29,2/10/2019 10:53
625.01,32.9,33.045,2/10/2019 10:59
460,0.8,69.6,2/11/2019 9:31
50,1,7.55,2/11/2019 9:43
245.58,12.93,22.325,2/11/2019 10:11
185,4,20.8,2/11/2019 10:48
300,10,30.4,2/11/2019 10:55
722,38,62,2/11/2019 10:56
250,5,26.3,2/11/2019 10:57
100,0,24,2/11/2019 11:31
300,3.4,36.2,2/11/2019 11:33
120,6.7,9.8,2/11/2019 11:37
1763.58,92.82,149.28,2/11/2019 11:39
400,24.75,29.5525,2/11/2019 11:50
600,36,46.8,2/11/2019 11:52
30,0,9.45,2/11/2019 11:53
365.28,19.23,32.725,2/11/2019 11:58
180,7,17.16,2/11/2019 12:01
76,0,9.68,2/11/2019 12:10
140,0,12.73,2/11/2019 12:14
237.6,12.51,21.995,2/11/2019 12:21
83.3,6.5,5.5,2/11/2019 12:25
330,11.5,35.9,2/11/2019 12:51
190,4.32,23.12,2/11/2019 1:06
2007.07,105.64,101.565,2/11/2019 1:06
219.51,6.79,22.811,2/11/2019 1:31
340,10,42,2/11/2019 1:35
418.57,22.03,35.61,2/11/2019 4:31
355.78,18.73,30.175,2/11/2019 4:35
405.65,21.35,44.89,2/11/2019 4:37
623.01,32.79,52.01,2/11/2019 4:46
25,0,5,2/11/2019 4:54
200,0.1,24.83,2/11/2019 4:56
428.26,22.54,34.86,2/11/2019 5:07
1630,87,139.6,2/11/2019 5:14
160,0,20.8,2/11/2019 5:14
8,0.4,0.72,2/11/2019 5:15
1200,0,188,2/11/2019 5:21
220,5,31.9,2/11/2019 5:25
200,0,24.56,2/11/2019 5:25
20,0,2.6,2/11/2019 5:26
230,14.44,17.688,2/11/2019 5:37
679.25,35.75,58.05,2/11/2019 5:44
110,5,6.3,2/11/2019 5:49
180,0,15,2/11/2019 5:49
1350,45,94.5,2/11/2019 5:51
23.6,0,3.64,2/11/2019 5:59
100,0,16,2/11/2019 6:02
330,7,37,2/11/2019 6:06
150,0,14.99,2/11/2019 6:08
150,4.7,15.9,2/11/2019 6:09
425.36,22.39,35.9625,2/11/2019 6:13
666.41,35.07,60.106,2/11/2019 6:16
290,0,53,2/11/2019 6:18
35,1,3.42,2/11/2019 6:28
250,5,64,2/11/2019 6:35
337.725,17.775,28.725,2/11/2019 6:46
170,5,20,2/11/2019 6:48
210,10,45,2/11/2019 6:49
50,2.5,4.35,2/11/2019 6:51
427.5,22.5,37.5,2/11/2019 6:52
318.63,16.77,28.43,2/11/2019 6:55
500,12.9,55.85,2/11/2019 7:08
494,26,42,2/11/2019 7:08
80,0,10,2/11/2019 7:11
760,10,30.1,2/11/2019 7:15
421.14,22.17,26.2145,2/11/2019 7:28
599.76,31.57,51.45,2/11/2019 7:33
940,50,87,2/11/2019 7:30
150,0,22.5,2/11/2019 7:33
181.07,9.53,16.68,2/11/2019 7:34
33.8,0,5.12,2/11/2019 7:39
500,11.1,53,2/11/2019 7:49
58,0,10.2,2/11/2019 7:55
570,22,51.5,2/11/2019 7:58
1340,52.94,215.05,2/11/2019 7:58
250,5,26.3,2/11/2019 8:04
250,3.5,34,2/11/2019 8:05
150,10,10.2,2/11/2019 8:08
33.8,0,5.12,2/11/2019 8:10
45,0,5.85,2/11/2019 8:11
200,11.31,16.785,2/11/2019 8:15
180,0,23.9,2/11/2019 8:18
30.97,1.63,2.37,2/11/2019 8:23
360,15,35.55,2/11/2019 8:24
75,0,7,2/11/2019 8:24
1100,88.1,36.15,2/11/2019 8:28
465.6,24.51,40.945,2/11/2019 8:31
1240,35.8,126.7,2/11/2019 8:33
199.5,10.5,16.5,2/11/2019 8:39
634.6,33.4,55.6,2/11/2019 8:40
44.18,2.33,4.175,2/11/2019 8:43
227.42,7.03,24.7865,2/11/2019 8:46
600,45,24.2,2/11/2019 8:48
178.3,0,24.35,2/11/2019 8:52
436.76,22.99,34.7825,2/11/2019 8:56
626.86,32.99,68.2575,2/11/2019 8:57
425.08,22.37,15.7275,2/11/2019 8:57
100,4,22.4,2/11/2019 8:58
30.97,1.63,2.37,2/11/2019 9:00
850,65.96,49.85,2/11/2019 9:02
120,30,7.5,2/11/2019 9:04
40,2,3.77,2/11/2019 9:05
975,0,87.9,2/11/2019 9:07
67.5,0,9.85,2/11/2019 9:08
745.2,39.22,59.999,2/11/2019 9:10
343.43,18.08,29.125,2/11/2019 9:11
48,0,6.28,2/11/2019 9:16
144.5,0,17.6,2/11/2019 9:17
30,7,-2,2/11/2019 9:18
500,17.5,50,2/11/2019 9:21
299.38,15.76,25.103,2/11/2019 9:21
80,0,12,2/11/2019 9:21
90,0,18.75,2/11/2019 9:22
190,3,22,2/11/2019 9:22
150,7.5,13.05,2/11/2019 9:23
290,5,42,2/11/2019 9:24
343.311,18.069,28.611,2/11/2019 9:30
300,17.51,24.955,2/11/2019 9:31
40,2,3.6,2/11/2019 9:31
143.62,5.98,15.456,2/11/2019 9:33
88.83,4.68,6.825,2/11/2019 9:34
350,18.76,31.762,2/11/2019 9:36
260,3,26.35,2/11/2019 9:36
66.44,0,17.32,2/11/2019 9:37
48.28,0,4.74,2/11/2019 9:37
130,0,40.23,2/11/2019 9:39
470,18.4,51.38,2/11/2019 9:43
240,14.25,18.8975,2/11/2019 9:43
120,4.4,11.8,2/11/2019 9:45
900,37,104.83,2/11/2019 9:46
1377.4,42.6,74.4,2/11/2019 9:48
10,0,1,2/11/2019 9:48
991.705,52.195,92.345,2/11/2019 9:48
160,0,22,2/11/2019 9:49
200,5,13.64,2/11/2019 9:52
200,12.8,16.5,2/11/2019 9:53
30,0,6.93,2/11/2019 9:53
70,0,15,2/11/2019 9:57
904.03,47.58,145.0495,2/11/2019 10:06
49.6,0,8.4,2/11/2019 10:07
2802.5,147.5,120.68,2/11/2019 10:08
101.49,5.34,8.8585,2/11/2019 10:11
2149.38,113.13,176.775,2/11/2019 10:17
431.21,22.7,23.105,2/11/2019 10:20
20.9,1.1,2.9,2/11/2019 10:22
215.84,11.36,17.44,2/11/2019 10:26
500,18.64,27.47,2/11/2019 10:52
340,32,13.45,2/11/2019 10:54
349.63,18.4,28.6285,2/11/2019 10:55
350,10,19.88,2/11/2019 10:59
140,8.63,11.7985,2/12/2019 9:25
1680,40,109.3,2/12/2019 9:28
100,4,22.4,2/12/2019 9:38
200,0,29.1,2/12/2019 9:48
190,0,26,2/12/2019 9:51
70,5.74,3.57,2/12/2019 9:52
280,14.91,23.495,2/12/2019 10:04
150,7.5,13.05,2/12/2019 10:18
20,0,4.4,2/12/2019 10:35
30,1.5,7.62,2/12/2019 10:39
140,2.5,16.09,2/12/2019 10:41
20,1,3.2,2/12/2019 10:59
60,0,7.2,2/12/2019 11:04
154.01,8.11,11.844,2/12/2019 11:13
350,20.51,29.695,2/12/2019 11:22
100,3.6,10,2/12/2019 11:35
893.57,47.03,76.37,2/12/2019 11:47
220,5,25,2/12/2019 11:48
2070,130,178,2/12/2019 12:00
412,0,53.7,2/12/2019 12:03
765.8,40.31,70.795,2/12/2019 12:24
247.48,13.03,21.475,2/12/2019 12:26
170.24,8.96,14.39,2/12/2019 12:38
120,0,10.8,2/12/2019 12:38
610,17,46.82,2/12/2019 1:10
90,0,20.79,2/12/2019 1:19
240,0,36,2/12/2019 1:19
272.46,14.34,20.88,2/12/2019 1:29
1070,5,132.7,2/16/2019 12:28
120,11,6.9,2/12/2019 4:30
50,0,6.75,2/12/2019 4:41
20,5,-1.74,2/12/2019 4:46
600,21,61.6,2/12/2019 4:48
110,7.46,10.037,2/12/2019 4:57
760,41.6,83.8,2/12/2019 5:05
1400,75,117,2/12/2019 5:17
200,20,30,2/12/2019 5:21
24.7,1.3,2.1,2/12/2019 5:27
77,0,10.67,2/12/2019 5:29
99.75,0,13.65,2/12/2019 5:31
570,10,62.37,2/12/2019 5:41
170,0.5,23.94,2/12/2019 5:42
41.4,0,6.42,2/12/2019 5:44
300,0,30,2/12/2019 5:47
100,7.11,6.975,2/12/2019 5:51
549.33,16.99,56.7204,2/12/2019 5:51
50,5,10,2/12/2019 6:00
15,0.07,1.14,2/12/2019 6:06
30,0,14,2/12/2019 6:06
800,29.92,120.5824,2/12/2019 6:12
36,0,4.42,2/12/2019 6:13
346.75,18.25,29.71,2/12/2019 6:14
760.09,40,65.8955,2/12/2019 6:16
860,31.84,99.62,2/12/2019 6:26
100,0,21.2,2/12/2019 6:27
332.88,17.52,25.08,2/12/2019 6:30
600,0,64,2/12/2019 6:31
228.95,12.05,41.25,2/12/2019 6:38
200,0,24,2/12/2019 6:39
130,9.51,9.895,2/12/2019 6:50
70,0,10.2,2/12/2019 6:51
279.44,14.71,23.7525,2/12/2019 6:52
95.76,5.04,8.06,2/12/2019 6:54
15,0,3.3,2/12/2019 6:55
60.6,0,7.9,2/12/2019 6:56
468.16,35.24,30.462,2/12/2019 7:04
110,0,11.96,2/12/2019 7:06
280,0,280,2/12/2019 7:07
1806.9,95.1,147.9,2/12/2019 7:09
200,0,40,2/12/2019 7:10
127.78,6.73,10.775,2/12/2019 7:14
229,0,29.9,2/12/2019 7:16
977,0,130.6,2/12/2019 7:17
40,2,3.5,2/12/2019 7:25
2500,170,72.75,2/12/2019 7:28
4814.22,253.38,416.92,2/12/2019 7:29
497.8,26.2,42.2,2/12/2019 7:34
720,15,66.3,2/12/2019 7:38
160,5,19,2/12/2019 7:39
481.65,25.35,41.75,2/12/2019 7:42
150,0.7,18.99,2/12/2019 7:43
1329.72,69.99,111.765,2/12/2019 7:45
1120.74,34.66,121.438,2/12/2019 7:45
1880,50,107,2/12/2019 7:45
484.5,25.5,41.1,2/12/2019 7:46
376.17,11.63,39.106,2/12/2019 7:51
50,1,5.6,2/12/2019 7:53
926.25,48.75,106.36,2/12/2019 7:54
473.1,24.9,40.2,2/12/2019 7:56
130,7.91,10.015,2/12/2019 7:58
20,0,2.6,2/12/2019 7:58
80,2.9,7.9,2/12/2019 8:00
40,4,1.8,2/12/2019 8:03
1750,67.01,168.975,2/12/2019 8:06
333.93,17.58,28.265,2/12/2019 8:13
699.2,36.8,52.5,2/12/2019 8:16
60,1.2,6.9,2/12/2019 8:16
517.75,27.25,40.75,2/12/2019 8:17
264.1,13.9,24.9,2/12/2019 8:17
500,16.95,50.67,2/12/2019 8:18
19,0,2.42,2/12/2019 8:19
179.68,0,23.89,2/12/2019 8:20
20,0.55,1.1,2/12/2019 8:21
240,2.9,33.7,2/12/2019 8:24
697.68,36.72,64.58,2/12/2019 8:27
19.18,0,1.54,2/12/2019 8:27
544.83,28.68,54.125,2/12/2019 8:38
130,4,14,2/12/2019 8:39
1030.49,54.24,96.7735,2/12/2019 8:39
150,10.71,11.795,2/12/2019 8:42
160,3.5,18.8,2/12/2019 8:44
458.76,24.15,38.835,2/12/2019 8:45
480,25,42.6,2/12/2019 8:49
194.94,10.26,16.34,2/12/2019 8:49
420,6,49.3,2/12/2019 8:50
30,0,9.45,2/12/2019 8:50
261.25,13.75,21.75,2/12/2019 8:51
700,0,58.5,2/12/2019 8:52
224.49,11.82,18.605,2/12/2019 8:58
1837.87,96.73,170.07,2/12/2019 8:59
160,5.14,10.79,2/12/2019 9:00
390,5,46.53,2/12/2019 9:01
480,13,52.2,2/12/2019 9:03
20,0,4.4,2/12/2019 9:04
37.05,1.95,3.17,2/12/2019 9:05
160,0,36,2/12/2019 9:05
600,61.3,32.67,2/12/2019 9:06
330,15.6,28.61,2/12/2019 9:07
927.2,48.8,78.6,2/12/2019 9:08
208.24,10.96,20.12,2/12/2019 9:08
150,2.4,16.07,2/12/2019 9:09
79.5,0,10.4,2/12/2019 9:10
335,5,31.71,2/12/2019 9:12
366.7,19.3,30.7,2/12/2019 9:13
271.18,14.27,21.2475,2/12/2019 9:13
90,0,20.79,2/12/2019 9:14
220,0,30,2/12/2019 9:14
95,0,11.07,2/12/2019 9:17
120,0.1,16.5,2/12/2019 9:19
669.5,35.24,56.523,2/12/2019 9:24
180,0,24,2/12/2019 9:26
90,5,12.51,2/12/2019 9:29
500,10.05,59.03,2/12/2019 9:29
60,0,14,2/12/2019 9:30
170,15,10,2/13/2019 10:16
31.24,1.64,0.996,2/12/2019 9:33
250.08,13.16,22.048,2/12/2019 9:35
50,0,20,2/12/2019 9:36
160,0,15,2/12/2019 9:39
240,10,22.4,2/12/2019 9:41
300,1.7,37.9,2/12/2019 9:51
390,7.8,44,2/12/2019 9:53
322.53,16.98,28.875,2/12/2019 9:53
160,0,40,2/12/2019 9:56
199.5,10.5,20.05,2/12/2019 9:57
557.75,17.25,23.35,2/12/2019 10:01
320,8.4,59.8,2/12/2019 10:04
200,10,18.07,2/12/2019 10:04
740.15,38.96,62.545,2/12/2019 10:15
904.04,27.96,101.56,2/12/2019 10:19
30,1.2,2.8,2/12/2019 10:20
58.56,0,7.64,2/12/2019 10:25
715.28,37.65,70.5735,2/12/2019 10:41
350,10,10.35,2/12/2019 10:49
228,12,19.25,2/12/2019 10:50
330,9.5,36.35,2/12/2019 10:50
390,5,46.1,2/12/2019 10:51
620,11.2,59.54,2/12/2019 10:52
120,9,10.35,2/12/2019 10:53
100,0,14,2/13/2019 8:56
197,0,25.6,2/13/2019 9:02
290,0,48.75,2/13/2019 9:06
1200,53.5,108.48,2/13/2019 9:33
1330,34.6,94.62,2/13/2019 9:36
96,0,12.4,2/13/2019 9:48
20,0,6.6,2/13/2019 9:50
90,5,24,2/13/2019 9:50
360,29,49.47,2/13/2019 10:03
88.35,4.65,7.35,2/13/2019 10:40
50,0,20,2/13/2019 10:22
442.13,23.27,37.43,2/13/2019 10:23
950,151,-7,2/13/2019 10:25
106.5,0,26.97,2/13/2019 10:28
120,18.51,-0.505,2/13/2019 10:31
30,0,4.17,2/13/2019 10:33
330,5,120,2/13/2019 10:36
40,0.8,6.04,2/13/2019 10:45
150,0,19.6,2/13/2019 10:58
49.32,0,3.96,2/13/2019 11:03
330,15,3.42,2/13/2019 11:23
50,0,8.35,2/13/2019 11:42
12.5,0,1.63,2/13/2019 11:47
240,5,28,2/13/2019 11:49
25,0,3.26,2/13/2019 11:55
100,0,33.3,2/13/2019 12:06
140.72,2.08,16.72,2/13/2019 12:11
200,10,18.5,2/13/2019 12:16
3471.63,107.37,541.63,2/13/2019 12:23
33.82,1.78,3.12,2/13/2019 12:29
210,2,54,2/13/2019 12:40
170,0,18.2,2/13/2019 12:47
50,0,6.52,2/13/2019 12:49
100,0,13.5,2/13/2019 1:00
3350,90,2750,2/13/2019 1:09
50,1.6,5.69,2/13/2019 1:08
151.24,7.96,12.84,2/13/2019 1:08
13,0,4.145,2/13/2019 1:14
246.96,13,20.702,2/13/2019 1:25
320,11.12,34.6,2/13/2019 1:42
200,20,30,2/13/2019 1:49
80,7.11,4.595,2/13/2019 4:16
125.88,6.63,10.575,2/13/2019 4:37
58.5,0,9,2/13/2019 4:40
190,5,20,2/13/2019 4:44
270,5,24.46,2/13/2019 4:59
8630,272.35,635.5495,2/13/2019 5:11
40,1.73,3.86,2/13/2019 5:32
60,0,7.84,2/13/2019 5:40
160,0.04,20.8,2/13/2019 6:00
229.8,4.69,25.2802,2/13/2019 6:08
1050,40,60,2/13/2019 6:10
430,20,42,2/13/2019 6:11
430,10,12.9,2/13/2019 6:31
24.5,0,3.5,2/13/2019 6:38
90,0,9,2/13/2019 6:40
600,30,55.2,2/13/2019 6:48
60,10,-1.26,2/13/2019 7:03
100,10,20,2/13/2019 7:04
1860,70,87,2/13/2019 7:13
220.4,6.82,21.1134,2/13/2019 7:14
210,1.14,24.88,2/13/2019 7:17
1651.72,51.08,212.166,2/13/2019 7:23
410.98,17.12,36.276,2/13/2019 7:34
20,1,5.65,2/13/2019 7:38
40,2,2,2/13/2019 7:40
60,0,7.2,2/13/2019 7:41
249.66,13.14,22.72,2/13/2019 7:42
200,6.6,22.8,2/13/2019 7:44
110,0,17,2/13/2019 7:45
219.18,0,27.05,2/13/2019 7:45
30,0,4,2/13/2019 7:47
400,11,47,2/13/2019 7:51
70,5,4.8,2/13/2019 7:53
339.45,25.55,21.95,2/13/2019 7:54
190,5,21.7,2/13/2019 7:55
179.55,9.45,16.59,2/13/2019 8:02
1040,35.03,237.34,2/13/2019 8:03
1290,40.4,137.278,2/13/2019 8:05
35,0.9,4.3,2/13/2019 8:06
274.65,14.46,23.545,2/13/2019 8:11
1434.23,75.49,113.234,2/13/2019 8:13
180,6,18,2/13/2019 8:14
110,3.5,6.78,2/13/2019 8:18
269.85,8.35,25.854,2/13/2019 8:18
840,30,131,2/13/2019 8:22
1000,60,85,2/13/2019 8:26
125,4,15.35,2/13/2019 8:26
639.29,33.65,54.373,2/13/2019 8:27
315.78,16.62,29.88,2/13/2019 8:29
680,37,61.6,2/13/2019 8:31
350,10,35.11,2/13/2019 8:34
500,20,48,2/13/2019 8:34
1630.63,85.82,143.6775,2/13/2019 8:34
90,3.75,9.2,2/13/2019 8:35
